,WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
0,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a4:64,-57,-57,-58,-58,-61,41.77613095
1,f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e3,f4:2e:7f:79:98:e4,f4:2e:7f:79:98:e6,f4:2e:7f:79:98:e2,-57,-80,-80,-80,-81,39.44861979
2,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-52,-60,-60,-60,-60,47.17827414
4,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-49,-51,-51,-51,-51,48.16018904
5,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-52,-52,-55,-55,-56,45.97116379
6,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:26,-39,-51,-51,-52,-52,37.77245103
7,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:25,f4:2e:7f:79:a3:26,-39,-51,-51,-52,-52,42.97576789
8,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-56,-60,-60,-61,-61,39.88971001
9,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-56,-60,-60,-61,-61,36.53621351
10,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:25,-48,-48,-49,-50,-51,36.79844244
11,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-50,-50,-50,-50,37.47810884
12,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-50,-50,-50,-50,39.45448327
13,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:30,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-57,-61,-61,-62,-62,39.97888389
14,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-58,-58,-58,-59,-59,36.56324285
15,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-58,-58,-58,-59,-59,36.74003871
16,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-47,-47,-48,-48,-50,38.69093596
17,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-54,-56,50.69743805
18,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-59,-60,-60,-60,-60,41.44400107
19,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,-59,-60,-60,-60,-60,39.7116253
20,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,-49,-52,-53,-55,-55,56.33121307
21,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-48,-50,-50,-50,-50,51.23888265
22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-48,-50,-50,-50,-50,48.75349296
23,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,-46,-46,-46,-47,-47,29.73469111
24,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:34,-46,-46,-46,-47,-47,41.00108969
25,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-54,-54,-54,-54,-55,36.72538836
26,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:35,-55,-58,-58,-59,-59,37.91494065
27,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:35,-55,-58,-58,-59,-59,38.43642338
28,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-48,-48,-48,-48,-52,35.25769392
29,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,36.8890896
30,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,35.84998345
31,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-56,39.34330787
32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,-50,-50,-51,-59,-65,40.89902922
33,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,-50,-50,-51,-59,-65,36.20910274
34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-52,-56,-56,-56,-56,38.46665402
35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-52,-56,-56,-56,-56,39.82954404
36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,-52,-54,-54,-55,-55,36.58943653
37,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-51,-51,-51,-51,33.06643186
38,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-51,-51,-51,-51,32.8854509
39,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-55,-55,-55,-56,-56,34.47254626
40,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-55,-55,-55,-56,-56,36.48428634
41,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,-54,-56,-57,-57,-57,36.55047545
42,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-50,-50,-50,-51,-51,36.4242227
43,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-50,-50,-50,-51,-51,36.4605349
44,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,-53,-53,-53,-53,-54,35.18848349
45,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-47,-47,-47,-47,-58,39.45200803
46,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:30,-39,-39,-39,-40,-40,43.93564824
47,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:30,-39,-39,-39,-40,-40,44.44844824
48,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-52,-52,-52,-52,41.23351203
49,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-44,-44,-45,-79,-79,35.15461281
50,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-44,-44,-45,-79,-79,37.76925148
51,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-55,-55,-55,-55,-59,38.55448724
52,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-55,-55,-55,-55,-59,36.31103261
53,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-57,-59,-60,-60,-60,36.7532999
54,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-57,-59,-60,-60,-60,36.76074062
55,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:76,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:74,f4:2e:7f:79:a4:75,-56,-69,-69,-69,-69,36.80367506
56,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-56,-56,-56,-56,-57,36.76318455
57,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-56,-56,-56,-56,-57,37.22006354
58,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,-55,-58,-59,-59,-59,43.2947435
59,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-63,-64,-64,-64,-64,43.16307196
60,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-63,-64,-64,-64,-64,43.32512865
61,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-61,-61,-61,-61,-61,42.28955827
62,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-61,-61,-61,-61,-61,39.02443771
63,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-56,-58,-58,-58,-58,47.14448319
64,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-58,-58,-58,-58,36.60290569
65,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-54,-58,-58,-58,-58,43.00224831
66,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:72,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:75,f4:2e:7f:79:98:f0,-56,-77,-77,-78,-83,39.35806928
67,f4:2e:7f:79:a3:32,f4:2e:7f:79:a4:72,f4:2e:7f:79:a4:73,f4:2e:7f:79:a4:75,f4:2e:7f:79:98:f0,-56,-77,-77,-78,-83,35.75838175
68,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:25,-52,-58,-61,-63,-64,38.04127108
69,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-56,-56,-56,-56,-56,40.54951972
70,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-56,-56,-56,-56,-56,43.38613335
71,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,39.9223199
72,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,37.77835332
73,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,-54,-54,-55,-55,-58,39.38997421
