WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
14,15,16,17,18,-56,-61,-62,-62,-62,34.77515319
14,39,44,45,48,-54,-67,-69,-69,-69,34.87181815
14,39,44,45,48,-54,-67,-69,-69,-69,40.60850326
14,15,16,17,18,-57,-61,-61,-61,-62,40.66425387
16,17,18,15,14,-55,-55,-55,-56,-57,40.2193024
16,17,18,15,14,-55,-55,-55,-56,-57,38.89855126
14,15,16,17,18,-55,-57,-57,-57,-57,38.16375464
14,18,15,16,17,-53,-54,-55,-55,-55,35.61193908
14,18,15,16,17,-53,-54,-55,-55,-55,36.57072891
15,16,17,18,42,-57,-57,-57,-57,-60,35.56542442
15,16,17,18,42,-57,-57,-57,-57,-60,31.35272666
15,16,17,18,14,-52,-52,-52,-52,-60,32.59339608
