WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:35,-55,-58,-58,-59,-59,37.91494065,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:26,f4:2e:7f:79:a3:35,-55,-58,-58,-59,-59,38.43642338,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-48,-48,-48,-48,-52,35.25769392,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,36.8890896,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-54,35.84998345,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-53,-53,-53,-53,-56,39.34330787,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,-50,-50,-51,-59,-65,40.89902922,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:25,-50,-50,-51,-59,-65,36.20910274,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-52,-56,-56,-56,-56,38.46665402,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-52,-56,-56,-56,-56,39.82954404,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,-52,-54,-54,-55,-55,36.58943653,indoor
f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-51,-51,-51,-51,33.06643186,indoor
f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-51,-51,-51,-51,32.8854509,indoor
f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-55,-55,-55,-56,-56,34.47254626,indoor
f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,-55,-55,-55,-56,-56,36.48428634,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,-54,-56,-57,-57,-57,36.55047545,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-50,-50,-50,-51,-51,36.4242227,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:36,-50,-50,-50,-51,-51,36.4605349,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,-53,-53,-53,-53,-54,35.18848349,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-47,-47,-47,-47,-58,39.45200803,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:30,-39,-39,-39,-40,-40,43.93564824,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:30,-39,-39,-39,-40,-40,44.44844824,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-52,-52,-52,-52,41.23351203,indoor
f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-44,-44,-45,-79,-79,35.15461281,indoor
f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,f4:2e:7f:79:98:e5,f4:2e:7f:79:98:e6,-44,-44,-45,-79,-79,37.76925148,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-55,-55,-55,-55,-59,38.55448724,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-55,-55,-55,-55,-59,36.31103261,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-57,-59,-60,-60,-60,36.7532999,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-57,-59,-60,-60,-60,36.76074062,indoor
